descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 8}",74.64579187666742,20.025296856317944
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 16}",74.63042929584411,20.0289289425487
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 32}",74.61773763189875,20.032258276401006
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 64}",74.63267392384273,20.034367832517265
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 128}",74.62673678709155,20.038401682967134
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 256}",74.64330929049716,20.0450974909006
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,standard,4,"{'eps': 12, 'min_samples': 8}",0.9576641880761099,5.957793009436931
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 8}",62.823505740308136,22.782446079346332
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 8}",45.08206355687976,15.665968948626148
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 8}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 12, 'min_samples': 16}",0.8396889063108637,6.76408322762305
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 16}",62.83035027680914,22.77374701111998
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 16}",45.08206355687976,15.665968948626148
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 16}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 32}",62.78322006040698,22.769322582150437
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 32}",45.07196387505619,15.671193689219445
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 32}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 64}",62.77399463556362,22.75212389957434
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 64}",45.06427112896689,15.675548273984859
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 64}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 128}",62.724769722557355,22.73483020948962
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 128}",45.048038955525925,15.681422805220901
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 128}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 128}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 12, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 256}",62.60210432944725,22.71972924005063
efficientnet-b7,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 256}",45.048038955525925,15.681422805220901
efficientnet-b7,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 256}",5.587653677805393,5.7358615144205665
efficientnet-b7,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 256}",,
efficientnet-b7,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 256}",,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 4},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 8},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 12},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 16},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 24},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 32},,
efficientnet-b7,HDBSCAN,norm,1,{'min_cluster_size': 48},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 4},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 8},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 12},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 16},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 24},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 32},,
efficientnet-b7,HDBSCAN,standard,1,{'min_cluster_size': 48},,
osnet,DBSCAN,norm,39,"{'eps': 1, 'min_samples': 8}",39.18989263345956,2.2154869927438825
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 8}",7.840547823614988,2.1205189268689746
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 8}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 8}",,
osnet,DBSCAN,norm,14,"{'eps': 1, 'min_samples': 16}",74.96610819190101,3.1395620024421236
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 16}",7.840547823614988,2.1205189268689746
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 16}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 16}",,
osnet,DBSCAN,norm,6,"{'eps': 1, 'min_samples': 32}",128.88517509428416,4.86593022527875
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 32}",7.840547823614988,2.1205189268689746
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 32}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 32}",,
osnet,DBSCAN,norm,5,"{'eps': 1, 'min_samples': 64}",182.59380528242298,5.069501331767175
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 64}",15.459471453244351,1.9068149524330804
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 64}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 64}",,
osnet,DBSCAN,norm,3,"{'eps': 1, 'min_samples': 128}",283.96341266649677,6.802102392397135
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 128}",14.808030290386176,2.1186375657891823
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 128}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 128}",,
osnet,DBSCAN,norm,2,"{'eps': 1, 'min_samples': 256}",530.2026357505755,8.269677854007686
osnet,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 256}",25.872725302009556,1.9725222650511856
osnet,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 256}",,
osnet,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 256}",,
osnet,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 256}",,
osnet,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 256}",,
osnet,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 256}",,
osnet,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 256}",,
osnet,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 256}",,
osnet,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 8}",,
osnet,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 8}",,
osnet,DBSCAN,standard,50,"{'eps': 8, 'min_samples': 8}",10.844390591547175,2.4591474344566957
osnet,DBSCAN,standard,25,"{'eps': 12, 'min_samples': 8}",36.84255907169063,2.836577239711557
osnet,DBSCAN,standard,5,"{'eps': 16, 'min_samples': 8}",44.265072796617964,4.147506818609375
osnet,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 8}",22.73378053300235,3.9972964616287574
osnet,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 8}",10.934320213804085,1.30248676734423
osnet,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 8}",,
osnet,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 8}",,
osnet,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 16}",,
osnet,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 16}",,
osnet,DBSCAN,standard,11,"{'eps': 8, 'min_samples': 16}",18.847318805030238,3.2225356092275472
osnet,DBSCAN,standard,10,"{'eps': 12, 'min_samples': 16}",54.7628223552376,4.387143240500118
osnet,DBSCAN,standard,5,"{'eps': 16, 'min_samples': 16}",72.14535543997518,4.327624138127158
osnet,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 16}",26.007365375226655,4.077587056641642
osnet,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 16}",10.934320213804085,1.30248676734423
osnet,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 16}",,
osnet,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 16}",,
osnet,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 32}",,
osnet,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 32}",,
osnet,DBSCAN,standard,2,"{'eps': 8, 'min_samples': 32}",66.28719977573928,4.473561141972083
osnet,DBSCAN,standard,2,"{'eps': 12, 'min_samples': 32}",160.6952346845863,14.585064019339962
osnet,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 32}",129.51137060690195,7.758030698121485
osnet,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 32}",56.61342020310606,3.4519231927852165
osnet,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 32}",10.934320213804085,1.30248676734423
osnet,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 32}",,
osnet,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 32}",,
osnet,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 64}",,
osnet,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 64}",,
osnet,DBSCAN,standard,2,"{'eps': 8, 'min_samples': 64}",49.70266342502006,3.936250293248535
osnet,DBSCAN,standard,2,"{'eps': 12, 'min_samples': 64}",166.8887266493484,14.72468151920688
osnet,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 64}",173.14591914755908,7.784308060772906
osnet,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 64}",60.93235157675294,3.804307207845044
osnet,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 64}",10.934320213804085,1.30248676734423
osnet,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 64}",,
osnet,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 64}",,
osnet,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 128}",,
osnet,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 128}",,
osnet,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 128}",,
osnet,DBSCAN,standard,2,"{'eps': 12, 'min_samples': 128}",173.81795140931473,14.813498387379129
osnet,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 128}",184.54318313704138,7.914036004573925
osnet,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 128}",64.83789775275562,3.904866013574195
osnet,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 128}",10.934320213804085,1.30248676734423
osnet,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 128}",,
osnet,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 128}",,
osnet,DBSCAN,standard,1,"{'eps': 1, 'min_samples': 256}",,
osnet,DBSCAN,standard,1,"{'eps': 2, 'min_samples': 256}",,
osnet,DBSCAN,standard,1,"{'eps': 8, 'min_samples': 256}",,
osnet,DBSCAN,standard,2,"{'eps': 12, 'min_samples': 256}",173.90856557637397,15.032848355905882
osnet,DBSCAN,standard,2,"{'eps': 16, 'min_samples': 256}",186.91057052119095,8.000609901468113
osnet,DBSCAN,standard,2,"{'eps': 20, 'min_samples': 256}",68.74634502715898,3.9271185158729676
osnet,DBSCAN,standard,2,"{'eps': 24, 'min_samples': 256}",10.934320213804085,1.30248676734423
osnet,DBSCAN,standard,1,"{'eps': 32, 'min_samples': 256}",,
osnet,DBSCAN,standard,1,"{'eps': 48, 'min_samples': 256}",,
osnet,HDBSCAN,norm,4,{'min_cluster_size': 4},26.419852476058303,3.256233735666424
osnet,HDBSCAN,norm,18,{'min_cluster_size': 8},66.35359000448696,2.4740206024891984
osnet,HDBSCAN,norm,14,{'min_cluster_size': 12},74.99613088885525,2.6943316441680496
osnet,HDBSCAN,norm,10,{'min_cluster_size': 16},90.42694989683373,3.065217791616652
osnet,HDBSCAN,norm,6,{'min_cluster_size': 24},127.71885857530573,4.20162440226986
osnet,HDBSCAN,norm,21,{'min_cluster_size': 32},100.45177755636858,3.012364278425011
osnet,HDBSCAN,norm,10,{'min_cluster_size': 48},121.80516152606265,3.4935758741740592
osnet,HDBSCAN,standard,7,{'min_cluster_size': 4},40.05517242597573,3.5751116800051435
osnet,HDBSCAN,standard,17,{'min_cluster_size': 8},59.14564910743238,3.0887145909294054
osnet,HDBSCAN,standard,14,{'min_cluster_size': 12},59.985526736279965,3.305388421624517
osnet,HDBSCAN,standard,8,{'min_cluster_size': 16},81.18144185963584,4.4184741722226715
osnet,HDBSCAN,standard,5,{'min_cluster_size': 24},87.02944977095876,6.1082039378964605
osnet,HDBSCAN,standard,3,{'min_cluster_size': 32},70.96364020086257,6.224486866692414
osnet,HDBSCAN,standard,9,{'min_cluster_size': 48},110.28120739687996,4.399025903701171
vdc_color,DBSCAN,norm,3,"{'eps': 1, 'min_samples': 8}",86.19795469219399,10.374620408354177
